id;description;date;type;sub_type
1;help;2025-03-22T07:25:47;CLIENT;DELETE
2;unaccountably;2025-03-22T12:17:09;FEE;UPDATE
3;however talkative;2025-03-21T16:33:40;AGREEMENT;CREATE
4;despite about;2025-03-21T19:11:25;CLIENT;UPDATE
5;colorless underachieve;2025-03-21T21:34:14;CLIENT;UPDATE
6;whoever consequently pleased;2025-03-21T18:02:55;PAYMENT;UPDATE
7;regular grown only;2025-03-21T23:56:22;CLIENT;UPDATE
8;ferret wherever;2025-03-21T21:07:34;PAYMENT;DELETE
9;despite;2025-03-22T01:03:02;CLIENT;DELETE
10;going even;2025-03-21T16:11:40;AGREEMENT;DELETE
