id;active;adjusted_value;adjusted_value_plus;amount;description;name;start_date;value
1;true;drat amidst;suspiciously;2559.67;rarely why expert;blah;2025-03-21T23:30:48;6411.87
2;true;eek;although accidentally testify;10633.48;fowl;tool mmm seriously;2025-03-22T06:51:24;690.97
3;true;drat brr cutover;encouragement;13400.35;judgementally;aha;2025-03-21T16:09:50;948.1
4;true;exotic;righteously narrate sans;10518.23;refer physical worth;cautiously;2025-03-21T16:58:18;1211.47
5;false;vague;from;28192.74;restructure;eek huzzah;2025-03-22T03:53:45;30622.22
6;true;what;beneath;18166.18;after;incidentally misread unconscious;2025-03-21T19:24:22;10648.22
7;true;kiddingly essential;state unabashedly;13539.3;patiently;damp the qua;2025-03-22T04:11:40;16277.02
8;true;er hm;kiss trek during;24255.38;oddball knowledgeably at;needily;2025-03-21T19:44:43;31922.81
9;true;glider hm;within;30447.64;till quickly;solidly inasmuch loosely;2025-03-22T01:02:07;21286.5
10;true;blah against;ew;3596.55;where hastily;outnumber aircraft grandson;2025-03-22T03:40:35;9135.55
