id;done;start_date;value;operation;payment_type
1;false;2025-03-22T08:51:43;22037.46;MINUS;GENERAL
2;true;2025-03-22T13:57:28;29452.5;MINUS;FEES
3;true;2025-03-22T02:39:59;7938.54;PLUS;GENERAL
4;true;2025-03-22T00:34:05;26555.12;MINUS;GENERAL
5;false;2025-03-22T00:59:42;3901.91;PLUS;GENERAL
6;true;2025-03-22T09:09:59;22437.74;PLUS;GENERAL
7;false;2025-03-21T19:27:47;17217.42;MINUS;GENERAL
8;false;2025-03-22T13:52:06;12949.63;MINUS;FEES
9;true;2025-03-22T14:34:56;25114.65;MINUS;FEES
10;false;2025-03-22T08:47:55;9314.59;PLUS;GENERAL
